Time(ns),Low_L,Low_R,High_L,High_R
465000,     0,     0,     0,     0
485000, 16305, 16305,-16306,-16306
505000,  9759,  9759, -9760, -9760
525000,  -413,  -413,   412,   412
545000,     0,     0,     0,     0
565000,     0,     0,     0,     0
585000,     0,     0,     0,     0
605000,     0,     0,     0,     0
625000,     0,     0,     0,     0
645000,     0,     0,     0,     0
665000,     0,     0,     0,     0
685000,     0,     0,     0,     0
705000,     0,     0,     0,     0
725000,     0,     0,     0,     0
745000,     0,     0,     0,     0
765000,     0,     0,     0,     0
