Time(ns),Out_L,Out_R
465000,     0,     0
475000,     0,     0
485000,     0,     0
495000,  -971,  -971
505000, 16305, 16305
515000, 26336, 26336
525000,  9759,  9759
535000, -3251, -3251
545000,  -413,  -413
555000,  1055,  1055
565000,     0,     0
575000,     0,     0
585000,     0,     0
595000,     0,     0
605000,     0,     0
615000,     0,     0
625000,     0,     0
635000,     0,     0
645000,     0,     0
655000,     0,     0
665000,     0,     0
675000,     0,     0
685000,     0,     0
695000,     0,     0
705000,     0,     0
715000,     0,     0
725000,     0,     0
735000,     0,     0
745000,     0,     0
755000,     0,     0
765000,     0,     0
775000,     0,     0
785000,     0,     0
795000,     0,     0
805000,     0,     0
815000,     0,     0
825000,     0,     0
835000,     0,     0
845000,     0,     0
855000,     0,     0
865000,     0,     0
875000,     0,     0
885000,     0,     0
895000,     0,     0
905000,     0,     0
915000,     0,     0
925000,     0,     0
935000,     0,     0
945000,     0,     0
955000,     0,     0
965000,     0,     0
975000,     0,     0
985000,     0,     0
995000,     0,     0
1005000,     0,     0
1015000,     0,     0
1025000,     0,     0
1035000,     0,     0
1045000,     0,     0
1055000,     0,     0
1065000,     0,     0
1075000,     0,     0
1085000,     0,     0
1095000,     0,     0
